时间,前值,现值,发布日期
2008年01月,3.1,2.9,2008-02-16
2008年02月,2.9,3.0,2008-03-18
2008年03月,3.0,3.3,2008-04-16
2008年04月,3.3,2.6,2008-05-17
2008年05月,2.6,3.1,2008-06-16
2008年06月,3.1,3.4,2008-07-17
2008年07月,3.4,3.5,2008-08-16
2008年08月,3.5,3.3,2008-09-16
2008年09月,3.3,3.0,2008-10-17
2008年10月,3.0,2.5,2008-11-16
2008年11月,2.5,1.4,2008-12-17
2008年12月,1.4,1.1,2009-01-16
2009年01月,1.1,0.9,2009-02-16
2009年02月,0.9,1.0,2009-03-19
2009年03月,1.0,0.4,2009-04-16
2009年04月,0.4,0.8,2009-05-17
2009年05月,0.8,0.0,2009-06-16
2009年06月,0.0,0.0,2009-07-17
2009年07月,0.0,-0.7,2009-08-16
2009年08月,-0.7,-0.1,2009-09-16
2009年09月,-0.1,-0.5,2009-10-17
2009年10月,-0.5,-0.1,2009-11-16
2009年11月,-0.1,0.3,2009-12-17
2009年12月,0.3,0.8,2010-01-16
2010年01月,0.8,0.8,2010-02-16
2010年02月,0.8,0.5,2010-03-19
2010年03月,0.5,1.2,2010-04-16
2010年04月,1.2,1.0,2010-05-17
2010年05月,1.0,1.2,2010-06-16
2010年06月,1.2,0.8,2010-07-17
2010年07月,0.8,1.2,2010-08-16
2010年08月,1.2,1.0,2010-09-16
2010年09月,1.0,1.3,2010-10-17
2010年10月,1.3,1.3,2010-11-16
2010年11月,1.3,1.6,2010-12-17
2010年12月,1.6,1.9,2011-01-16
2011年01月,1.9,2.0,2011-02-16
2011年02月,2.0,2.2,2011-03-19
2011年03月,2.2,2.3,2011-04-16
2011年04月,2.3,2.7,2011-05-17
2011年05月,2.7,2.4,2011-06-16
2011年06月,2.4,2.4,2011-07-17
2011年07月,2.4,2.6,2011-08-16
2011年08月,2.6,2.5,2011-09-16
2011年09月,2.5,2.9,2011-10-17
2011年10月,2.9,2.9,2011-11-16
2011年11月,2.9,2.8,2011-12-17
2011年12月,2.8,2.3,2012-01-16
2012年01月,2.3,2.3,2012-02-16
2012年02月,2.3,2.5,2012-03-18
2012年03月,2.5,2.3,2012-04-16
2012年04月,2.3,2.2,2012-05-17
2012年05月,2.2,2.2,2012-06-16
2012年06月,2.2,2.0,2012-07-17
2012年07月,2.0,1.9,2012-08-16
2012年08月,1.9,2.2,2012-09-16
2012年09月,2.2,2.1,2012-10-17
2012年10月,2.1,2.1,2012-11-16
2012年11月,2.1,1.9,2012-12-17
2012年12月,1.9,2.0,2013-01-16
2013年01月,2.0,1.9,2013-02-16
2013年02月,1.9,1.8,2013-03-19
2013年03月,1.8,1.8,2013-04-16
2013年04月,1.8,1.1,2013-05-17
2013年05月,1.1,1.1,2013-05-20
2013年06月,1.1,1.6,2013-06-20
2013年07月,1.6,1.9,2013-08-16
2013年08月,1.9,1.6,2013-09-16
2013年09月,1.6,1.6,2013-10-17
2013年10月,1.6,1.2,2013-11-16
2013年11月,1.2,1.6,2013-12-17
2013年12月,1.6,1.2,2014-01-16
2014年01月,1.2,1.2,2014-02-16
2014年02月,1.2,1.0,2014-03-19
2014年03月,1.0,0.9,2014-04-16
2014年04月,0.9,1.1,2014-05-17
2014年05月,1.1,0.6,2014-06-16
2014年06月,0.6,1.0,2014-07-17
2014年07月,1.0,0.8,2014-08-16
2014年08月,0.8,0.8,2014-09-16
2014年09月,0.8,0.8,2014-10-17
2014年10月,0.8,0.7,2014-11-16
2014年11月,0.7,0.5,2014-12-17
2014年12月,0.5,0.1,2015-01-16
2015年01月,0.1,-0.5,2015-02-16
2015年02月,-0.5,0.0,2015-03-19
2015年03月,0.0,0.2,2015-04-16
2015年04月,0.2,0.3,2015-05-17
2015年05月,0.3,0.6,2015-06-17
2015年06月,0.6,0.2,2015-07-16
2015年07月,0.2,0.1,2015-08-14
2015年08月,0.1,0.1,2015-09-16
2015年09月,0.1,-0.1,2015-10-16
2015年10月,-0.1,0.2,2015-11-16
2015年11月,0.2,0.2,2015-12-16
2015年12月,0.2,0.2,2016-01-19
2016年01月,0.2,0.4,2016-02-25
2016年02月,0.4,-0.2,2016-03-17
2016年03月,-0.2,0.1,2016-04-14
2016年04月,0.1,-0.3,2016-05-18
