代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
113654,永02转债,128.425,603901,永创智能,6.105,3.041,2023-02-10,2026-05-07,2028-08-04,9.77,130,12.701,12.58,101.159,10/15 | 30,如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含 130%）,已公告强赎
123256,恒帅转债,195.7,300969,恒帅股份,3.28,1.906,2025-12-05,2026-05-07,2031-05-29,62.55,130,81.315,122.75,100.191,21/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,已公告强赎
113618,美诺转债,263.743,603538,美诺华,5.2,2.302,2021-07-20,2026-04-29,2027-01-14,21.28,130,27.664,57.58,100.625,24/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交 易日的收盘价格不低于当期转股价格的 130%(含 130%),已公告强赎
128141,旺能转债,122.667,002034,旺能环境,14.0,7.985,2021-06-23,2026-05-14,2026-12-17,13.98,130,18.174,17.19,100.844,14/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),已公告强赎
123236,家联转债,140.66,301193,家联科技,7.5,3.003,2024-06-28,2026-05-22,2029-12-22,15.33,130,19.929,21.59,100.344,19/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
123085,万顺转2,156.0,300057,万顺新材,9.0,2.756,2021-06-17,2026-05-12,2026-12-11,4.99,130,6.487,7.9,100.87,19/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%(含130%),已公告强赎
118006,阿拉转债,140.811,688179,阿拉丁,3.874,0.977,2022-09-21,2026-04-27,2028-03-15,13.32,130,17.316,18.69,100.356,17/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
123129,锦鸡转债,136.505,300798,锦鸡股份,6.0,1.446,2022-05-10,2026-04-30,2027-11-04,7.92,120,9.504,10.82,101.18,24/20 | 30,如果公司 A 股股票连续三十个交易日中至少有二十个交易日的收盘价不低于当期转股价格的 120%(含 120%),已公告强赎
118003,华兴转债,185.514,688001,华兴源创,8.0,5.783,2022-06-06,,2027-11-29,26.22,130,34.086,50.55,,15/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%(含 130%),公告要强赎
111013,新港转债,139.696,605162,新中港,3.691,2.621,2023-09-14,,2029-03-08,8.67,130,11.271,12.0,,18/15 | 30,如果公司 A 股股票连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%,公告要强赎
128108,蓝帆转债,108.3,002382,蓝帆医疗,31.44,15.201,2020-12-03,2026-05-22,2026-05-28,7.95,130,10.335,7.93,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-05-22 最后交易",如果公司股票在任何连续三十个交易日中至少十五个交易日的 收盘价格不低于当期转股价格的130%(含130%),已公告强赎
127017,万青转债,112.779,000789,万年青,10.0,9.995,2020-12-09,2026-05-28,2026-06-03,8.53,130,11.089,5.09,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-05-28 最后交易",如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),已公告强赎
113678,中贝转债,190.593,603220,中贝通信,5.17,5.108,2024-04-25,,2029-10-19,20.54,130,26.702,31.84,,14/15 | 30,如果公司股票在连续三十个交易日内至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%）；,
113640,苏利转债,136.246,603585,苏利股份,9.572,7.39,2022-08-22,,2028-02-16,17.2,130,22.36,20.03,,14/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）。,
127067,恒逸转2,169.8,000703,恒逸石化,30.0,29.994,2023-01-30,,2028-07-21,10.37,130,13.481,14.97,,14/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
118004,博瑞转债,176.01,688166,博瑞医药,4.65,4.426,2022-07-11,,2028-01-04,34.74,130,45.162,59.99,,14/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
